teamId,teamPosition,championName,win,kills,deaths,assists,visionScore,matchId
100,TOP,Gnar,False,1,6,3,14,SG2_79062074
100,JUNGLE,Pantheon,False,6,8,3,26,SG2_79062074
100,MIDDLE,Ryze,False,2,6,10,17,SG2_79062074
100,BOTTOM,Jhin,False,5,5,8,11,SG2_79062074
100,UTILITY,Nautilus,False,1,6,8,52,SG2_79062074
200,TOP,Camille,True,9,2,7,11,SG2_79062074
200,JUNGLE,JarvanIV,True,5,3,15,21,SG2_79062074
200,MIDDLE,Zoe,True,9,4,11,11,SG2_79062074
200,BOTTOM,Kaisa,True,7,4,8,12,SG2_79062074
200,UTILITY,Bard,True,1,2,25,63,SG2_79062074
100,TOP,Ambessa,True,13,12,6,12,SG2_77691183
100,JUNGLE,Udyr,True,9,3,14,27,SG2_77691183
100,MIDDLE,Qiyana,True,12,3,6,18,SG2_77691183
100,BOTTOM,Jhin,True,3,2,13,34,SG2_77691183
100,UTILITY,Velkoz,True,5,4,15,73,SG2_77691183
200,TOP,Vladimir,False,5,8,6,16,SG2_77691183
200,JUNGLE,MasterYi,False,12,8,4,16,SG2_77691183
200,MIDDLE,Sion,False,1,10,3,11,SG2_77691183
200,BOTTOM,Ashe,False,0,7,4,23,SG2_77691183
200,UTILITY,Rell,False,6,9,11,68,SG2_77691183
100,TOP,Darius,False,4,8,1,12,SG2_76922130
100,JUNGLE,XinZhao,False,3,12,3,23,SG2_76922130
100,MIDDLE,Nasus,False,2,8,2,9,SG2_76922130
100,BOTTOM,Ezreal,False,2,7,2,17,SG2_76922130
100,UTILITY,Lulu,False,0,4,5,54,SG2_76922130
200,TOP,Akali,True,6,3,6,11,SG2_76922130
200,JUNGLE,Viego,True,20,0,3,24,SG2_76922130
200,MIDDLE,Galio,True,3,2,12,6,SG2_76922130
200,BOTTOM,Kaisa,True,10,3,7,22,SG2_76922130
200,UTILITY,Rell,True,0,3,17,62,SG2_76922130
100,BOTTOM,Varus,True,28,14,27,0,SG2_78753013
100,BOTTOM,Sivir,True,13,16,37,0,SG2_78753013
100,UTILITY,Nautilus,True,4,12,42,0,SG2_78753013
100,UTILITY,Thresh,True,10,11,40,0,SG2_78753013
100,JUNGLE,Karthus,True,15,19,36,0,SG2_78753013
200,MIDDLE,Taliyah,False,8,15,32,0,SG2_78753013
200,BOTTOM,Lucian,False,9,11,29,0,SG2_78753013
200,UTILITY,Hwei,False,17,11,41,0,SG2_78753013
200,MIDDLE,Aurora,False,28,17,21,0,SG2_78753013
200,TOP,MonkeyKing,False,10,16,40,0,SG2_78753013
100,TOP,Nasus,False,4,7,11,24,SG2_79100029
100,JUNGLE,Diana,False,8,9,6,25,SG2_79100029
100,MIDDLE,Velkoz,False,9,3,10,27,SG2_79100029
100,BOTTOM,Jhin,False,6,5,8,15,SG2_79100029
100,UTILITY,Karma,False,0,6,14,103,SG2_79100029
200,TOP,Gragas,True,4,8,7,15,SG2_79100029
200,JUNGLE,Belveth,True,8,4,11,56,SG2_79100029
200,MIDDLE,Cassiopeia,True,8,8,6,15,SG2_79100029
200,BOTTOM,Kaisa,True,7,3,11,33,SG2_79100029
200,UTILITY,Janna,True,3,4,16,130,SG2_79100029
100,BOTTOM,Jhin,True,25,6,24,0,SG2_77857746
100,MIDDLE,Fizz,True,11,11,38,0,SG2_77857746
100,UTILITY,Morgana,True,10,7,40,0,SG2_77857746
100,UTILITY,Xerath,True,7,8,42,0,SG2_77857746
100,MIDDLE,Viktor,True,11,11,35,0,SG2_77857746
200,JUNGLE,Naafiri,False,19,12,12,0,SG2_77857746
200,BOTTOM,Zeri,False,15,13,13,0,SG2_77857746
200,JUNGLE,Kayn,False,4,12,17,0,SG2_77857746
200,UTILITY,Rell,False,3,14,31,0,SG2_77857746
200,UTILITY,Rakan,False,2,13,32,0,SG2_77857746
100,MIDDLE,Rumble,False,6,5,4,15,SG2_77871674
100,JUNGLE,Lillia,False,7,7,6,27,SG2_77871674
100,TOP,Chogath,False,0,4,2,14,SG2_77871674
100,BOTTOM,Lucian,False,7,8,5,15,SG2_77871674
100,UTILITY,Nami,False,3,3,15,80,SG2_77871674
200,TOP,Ryze,True,5,0,2,17,SG2_77871674
200,JUNGLE,Zed,True,13,3,6,22,SG2_77871674
200,MIDDLE,Aatrox,True,4,3,5,29,SG2_77871674
